,date,is_about_hp,text,preprocessed_text,score_vader,vader_class
0,2016-07-11,False,@PhelpsieSarah She literally tried to hook my hand away from the keyboard before sticking her tongue in my ear.,literally try hook hand away keyboard stick tongue ear,0.4939,positive
1,2016-07-11,False,"@nickeardleybbc As it's hot enough to leave the door open she isn't constantly asking to go in/out, so she had to find another trick.",hot enough leave door open constantly ask go find another trick,-0.1027,negative
2,2016-07-11,,"""If you're going to write while we're on holiday, I'm going to lick suntan lotion out of your ears."" https://t.co/I4P3RI9k7e",go write holiday go lick suntan lotion ear,0.4019,positive
3,2016-07-10,,When you meet an old friend in an unexpected place. https://t.co/rjRAcHLwmF,meet old friend unexpected place,0.4939,positive
4,2016-07-03,False,"RT @KateMaltby: And on Geoffrey Hill's death, a friend recalls the poet's defence of difficulty. We need a heavy dose of this today. https:…",geoffrey hill death friend recall poet defence difficulty need heavy dose today,-0.4019,negative
5,2016-07-03,,You can and you will! https://t.co/zcpPvh85Ga,,0.0,neutral
6,2016-07-03,,"If you were impressed by Henry's art in last RT, he's having a public exhibition next week! #ff @henryfraser0",impressed henry art last public exhibition next week ff,0.7096,positive
7,2016-07-03,False,"RT @henryfraser0: A time lapse video of me mouth painting (start to finish).

I'm only physically able to use my mouth. 😃 https://t.co/KrDe…",time lapse video mouth paint start finish physically able use mouth,0.0,neutral
8,2016-07-03,False,RT @Wizards_Whatnot: Advanced Screening of #FantasticBeasts to Support @Lumos happening in New York City! https://t.co/qz0o00F0h3 https://t…,advanced screening fantasticbeasts support happen new york city,0.5719,positive
9,2016-07-03,False,RT @ahmadsadika: @HPPlayLDN @jk_rowling please RT I am giving my tickets for todays play (part 1 +2) for donation as I can't go. I want som…,please give ticket today play part donation go want som,0.6124,positive
10,2016-07-02,,Have a good weekend too! Hugs right back. https://t.co/gJsUV66lzv,good weekend hug right back,0.7184,positive
11,2016-07-02,False,"RT @OwenJones84: By your logic, you took the side of the BNP, the French National Front and neo-Nazis. Is that logic reasonable? https://t.…",logic take side bnp french national front neo nazis logic reasonable,0.0,neutral
12,2016-07-02,False,RT @jasonsfolly: Despite insults &amp; labels galore the reason I support #savinglabour is that I don't want a Tory or UKIP govt. Simple. https…,despite insult amp label galore reason support savinglabour want tory ukip govt simple,0.691,positive
13,2016-07-02,,@jackthorne 'What did you have for your tea?' 'Spaghetti.' 'Bolognese?' 'Hoops.',tea spaghetti bolognese hoop,0.0,neutral
14,2016-07-02,False,@valmcdermid @LucyMalagoni @RGalbraith You can't say I haven't got good taste 😘,say get good taste,0.4404,positive
